Time	Date	RAName	Participant#	Experiment#	Age	Height	Gender	Hand	Order	Condition	Other	TimeofClick	Correct/Incorrect	ObjectSelected
04:37:24,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,44.61222,Incorrect,Dresser
04:37:34,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,54.47631,Incorrect,Teleport_Button
04:37:34,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,0,Incorrect,tree_1_trunk
04:44:08,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,393.9609,Correct,Oval_Rug
04:44:08,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,393.9609,Incorrect,Oval_Rug
04:48:11,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,628.6781,Correct,Lamp_ON_Left
04:48:11,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,628.6781,Incorrect,Lamp_ON_Left
04:54:36,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1014.107,Correct,Couch_Pillow
04:54:36,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1014.107,Incorrect,Couch_Pillow
05:00:10,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1347.568,Correct,Pineapples
05:00:10,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1347.568,Incorrect,Pineapples
05:04:44,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1621.32,Correct,Mantle_Clock
05:04:44,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1621.32,Incorrect,Mantle_Clock
05:04:58,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1635.973,Correct,NC_Button_Frame
05:04:58,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1635.973,Incorrect,NC_Button_Frame
05:05:57,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1695.183,Correct,Fruit_Bowl
05:05:57,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1695.183,Correct,Fruit_Bowl
05:10:29,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1957.909,Correct,Toy_Blocks
05:10:29,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1957.909,Incorrect,Toy_Blocks
05:11:08,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1996.845,Correct,COLLIDER
05:11:08,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,1996.845,Incorrect,COLLIDER
05:15:35,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,2264.084,Correct,Picture_Middle
05:15:35,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,2264.084,Incorrect,Picture_Middle
05:41:42,10/19/2018,test,,,,,Male,,1,,,3.754975,Incorrect,Teleport_Button
05:41:42,10/19/2018,test,,,,,Male,,1,,,0,Incorrect,Grass
06:03:25,10/19/2018,test,test,,,,Male,,2,,,10.50982,Incorrect,Teleport_Button
06:03:25,10/19/2018,test,test,,,,Male,,2,,,0,Incorrect,Grass
06:03:31,10/19/2018,test,test,,,,Male,,2,,,5.819194,Correct,Oval_Rug
06:03:31,10/19/2018,test,test,,,,Male,,2,,,5.819194,Incorrect,Oval_Rug
06:03:36,10/19/2018,test,test,,,,Male,,2,,,11.06997,Correct,Lamp_ON_Left
06:03:36,10/19/2018,test,test,,,,Male,,2,,,11.06997,Incorrect,Lamp_ON_Left
06:03:45,10/19/2018,test,test,,,,Male,,2,,,20.08238,Correct,Couch_Pillow
06:03:45,10/19/2018,test,test,,,,Male,,2,,,20.08238,Incorrect,Couch_Pillow
06:03:48,10/19/2018,test,test,,,,Male,,2,,,22.90879,Correct,Pineapples
06:03:48,10/19/2018,test,test,,,,Male,,2,,,22.90879,Incorrect,Pineapples
06:03:56,10/19/2018,test,test,,,,Male,,2,,,31.37507,Correct,Picture_Middle
06:03:56,10/19/2018,test,test,,,,Male,,2,,,31.37507,Incorrect,Picture_Middle
06:04:06,10/19/2018,test,test,,,,Male,,2,,,41.23805,Correct,Mug
06:04:06,10/19/2018,test,test,,,,Male,,2,,,41.23805,Incorrect,Mug
06:04:10,10/19/2018,test,test,,,,Male,,2,,,44.71212,Incorrect,Fireplace
06:04:10,10/19/2018,test,test,,,,Male,,2,,,44.71212,Incorrect,Fireplace
06:04:20,10/19/2018,test,test,,,,Male,,2,,,55.48026,Correct,Toy_Blocks
06:04:20,10/19/2018,test,test,,,,Male,,2,,,55.48026,Incorrect,Toy_Blocks
06:04:57,10/19/2018,test,test,,,,Male,,2,,,91.83578,Correct,Book_Stack
06:04:57,10/19/2018,test,test,,,,Male,,2,,,91.83578,Incorrect,Book_Stack
06:05:15,10/19/2018,test,test,,,,Male,,2,,,110.1106,Correct,Mantle_Clock
06:05:15,10/19/2018,test,test,,,,Male,,2,,,110.1106,Incorrect,Mantle_Clock
06:05:31,10/19/2018,test,test,,,,Male,,2,,,125.8487,Correct,Plates_bowls
06:05:31,10/19/2018,test,test,,,,Male,,2,,,125.8487,Incorrect,Plates_bowls
06:05:40,10/19/2018,test,test,,,,Male,,2,,,134.572,Correct,Fruit_Bowl
06:05:40,10/19/2018,test,test,,,,Male,,2,,,134.572,Incorrect,Fruit_Bowl
06:05:58,10/19/2018,test,test,,,,Male,,2,,,152.7665,Incorrect,Wall (2)
06:05:58,10/19/2018,test,test,,,,Male,,2,,,152.7665,Incorrect,Wall (2)
06:05:59,10/19/2018,test,test,,,,Male,,2,,,154.5089,Incorrect,Wall (2)
06:05:59,10/19/2018,test,test,,,,Male,,2,,,154.5089,Incorrect,Wall (2)
06:06:00,10/19/2018,test,test,,,,Male,,2,,,155.3907,Incorrect,Wall (2)
06:06:00,10/19/2018,test,test,,,,Male,,2,,,155.3907,Incorrect,Wall (2)
06:07:32,10/19/2018,test,test,,,,Male,,6,,,12.13043,Incorrect,Teleport_Button
06:07:32,10/19/2018,test,test,,,,Male,,6,,,0,Incorrect,Grass
06:07:36,10/19/2018,test,test,,,,Male,,6,,,3.785378,Correct,Oval_Rug
06:07:36,10/19/2018,test,test,,,,Male,,6,,,3.785378,Incorrect,Oval_Rug
06:07:38,10/19/2018,test,test,,,,Male,,6,,,6.666982,Correct,Lamp_ON_Left
06:07:38,10/19/2018,test,test,,,,Male,,6,,,6.666982,Incorrect,Lamp_ON_Left
06:07:42,10/19/2018,test,test,,,,Male,,6,,,9.78305,Correct,Couch_Pillow
06:07:42,10/19/2018,test,test,,,,Male,,6,,,9.78305,Incorrect,Couch_Pillow
06:07:44,10/19/2018,test,test,,,,Male,,6,,,12.02804,Correct,Pineapples
06:07:44,10/19/2018,test,test,,,,Male,,6,,,12.02804,Incorrect,Pineapples
06:08:58,10/19/2018,test,test,,,,Male,,6,,,8.713425,Incorrect,Teleport_Button
06:08:58,10/19/2018,test,test,,,,Male,,6,,,0,Incorrect,Grass
06:09:06,10/19/2018,test,test,,,,Male,,6,,,7.739814,Correct,Oval_Rug
06:09:06,10/19/2018,test,test,,,,Male,,6,,,7.739814,Incorrect,Oval_Rug
06:09:08,10/19/2018,test,test,,,,Male,,6,,,10.09616,Correct,Lamp_ON_Left
06:09:08,10/19/2018,test,test,,,,Male,,6,,,10.09616,Incorrect,Lamp_ON_Left
06:09:10,10/19/2018,test,test,,,,Male,,6,,,11.94959,Correct,Couch_Pillow
06:09:10,10/19/2018,test,test,,,,Male,,6,,,11.94959,Incorrect,Couch_Pillow
06:09:11,10/19/2018,test,test,,,,Male,,6,,,12.78733,Incorrect,Couch_Pillow
06:09:11,10/19/2018,test,test,,,,Male,,6,,,12.78733,Incorrect,Couch_Pillow
06:09:14,10/19/2018,test,test,,,,Male,,6,,,15.9266,Incorrect,Couch_Pillow
06:09:14,10/19/2018,test,test,,,,Male,,6,,,15.9266,Incorrect,Couch_Pillow
06:09:16,10/19/2018,test,test,,,,Male,,6,,,17.50071,Correct,Pineapples
06:09:16,10/19/2018,test,test,,,,Male,,6,,,17.50071,Incorrect,Pineapples
06:38:24,10/19/2018,test,,,,,Male,,1,,,11.99439,Incorrect,Teleport_Button
06:38:24,10/19/2018,test,,,,,Male,,1,,,11.99439,Incorrect,Teleport_Button
06:38:24,10/19/2018,test,,,,,Male,,1,,,0,Incorrect,Grass
06:38:48,10/19/2018,test,,,,,Male,,1,,,23.31099,Correct,Oval_Rug
06:38:48,10/19/2018,test,,,,,Male,,1,,,23.31099,Incorrect,Oval_Rug
06:38:48,10/19/2018,test,,,,,Male,,1,,,23.31099,Incorrect,Oval_Rug
06:38:52,10/19/2018,test,,,,,Male,,1,,,27.24291,Correct,Lamp_ON_Left
06:38:52,10/19/2018,test,,,,,Male,,1,,,27.24291,Incorrect,Lamp_ON_Left
06:38:52,10/19/2018,test,,,,,Male,,1,,,27.24291,Incorrect,Lamp_ON_Left
06:38:56,10/19/2018,test,,,,,Male,,1,,,31.38655,Correct,Couch_Pillow
06:38:56,10/19/2018,test,,,,,Male,,1,,,31.38655,Incorrect,Couch_Pillow
06:38:56,10/19/2018,test,,,,,Male,,1,,,31.38655,Incorrect,Couch_Pillow
06:38:59,10/19/2018,test,,,,,Male,,1,,,34.09955,Correct,Pineapples
06:38:59,10/19/2018,test,,,,,Male,,1,,,34.09955,Incorrect,Pineapples
06:38:59,10/19/2018,test,,,,,Male,,1,,,34.09955,Incorrect,Pineapples
06:39:04,10/19/2018,test,,,,,Male,,1,,,39.34977,Correct,Toy_Blocks
06:39:04,10/19/2018,test,,,,,Male,,1,,,39.34977,Incorrect,Toy_Blocks
06:39:04,10/19/2018,test,,,,,Male,,1,,,39.34977,Incorrect,Toy_Blocks
06:39:12,10/19/2018,test,,,,,Male,,1,,,47.03439,Correct,Picture_Middle
06:39:12,10/19/2018,test,,,,,Male,,1,,,47.03439,Incorrect,Picture_Middle
06:39:12,10/19/2018,test,,,,,Male,,1,,,47.03439,Incorrect,Picture_Middle
06:39:28,10/19/2018,test,,,,,Male,,1,,,63.61008,Correct,Mantle_Clock
06:39:28,10/19/2018,test,,,,,Male,,1,,,63.61008,Incorrect,Mantle_Clock
06:39:28,10/19/2018,test,,,,,Male,,1,,,63.61008,Incorrect,Mantle_Clock
06:39:52,10/19/2018,test,,,,,Male,,1,,,87.2571,Correct,Mug
06:39:52,10/19/2018,test,,,,,Male,,1,,,87.2571,Incorrect,Mug
06:39:52,10/19/2018,test,,,,,Male,,1,,,87.2571,Incorrect,Mug
06:40:10,10/19/2018,test,,,,,Male,,1,,,105.1947,Correct,Fruit_Bowl
06:40:10,10/19/2018,test,,,,,Male,,1,,,105.1947,Incorrect,Fruit_Bowl
06:40:10,10/19/2018,test,,,,,Male,,1,,,105.1947,Incorrect,Fruit_Bowl
06:40:21,10/19/2018,test,,,,,Male,,1,,,117.0006,Correct,Book_Stack
06:40:21,10/19/2018,test,,,,,Male,,1,,,117.0006,Incorrect,Book_Stack
06:40:21,10/19/2018,test,,,,,Male,,1,,,117.0006,Incorrect,Book_Stack
06:40:25,10/19/2018,test,,,,,Male,,1,,,120.7979,Incorrect,Grass
06:40:25,10/19/2018,test,,,,,Male,,1,,,120.7979,Incorrect,Grass
06:40:25,10/19/2018,test,,,,,Male,,1,,,120.7979,Incorrect,Grass
06:40:26,10/19/2018,test,,,,,Male,,1,,,121.9143,Incorrect,Floor
06:40:26,10/19/2018,test,,,,,Male,,1,,,121.9143,Incorrect,Floor
06:40:26,10/19/2018,test,,,,,Male,,1,,,121.9143,Incorrect,Floor
06:40:30,10/19/2018,test,,,,,Male,,1,,,125.2656,Incorrect,Plant_Coffee_Table_Left
06:40:30,10/19/2018,test,,,,,Male,,1,,,125.2656,Incorrect,Plant_Coffee_Table_Left
06:40:30,10/19/2018,test,,,,,Male,,1,,,125.2656,Incorrect,Plant_Coffee_Table_Left
06:40:41,10/19/2018,test,,,,,Male,,1,,,136.3916,Correct,Table_Clock
06:40:41,10/19/2018,test,,,,,Male,,1,,,136.3916,Incorrect,Table_Clock
06:40:41,10/19/2018,test,,,,,Male,,1,,,136.3916,Incorrect,Table_Clock
06:40:47,10/19/2018,test,,,,,Male,,1,,,142.2553,Correct,Plates_bowls
06:40:47,10/19/2018,test,,,,,Male,,1,,,142.2553,Incorrect,Plates_bowls
06:40:47,10/19/2018,test,,,,,Male,,1,,,142.2553,Incorrect,Plates_bowls
06:50:08,10/19/2018,,,,,,Male,,1,,,58.47505,Incorrect,Teleport_Button
06:50:08,10/19/2018,,,,,,Male,,1,,,0,Incorrect,tree_1_trunk
06:54:40,10/19/2018,,,,,,Male,,1,,,11.03776,Incorrect,Teleport_Button
06:54:40,10/19/2018,,,,,,Male,,1,,,0,Incorrect,tree_1_trunk
06:54:59,10/19/2018,,,,,,Male,,1,,,18.10486,Correct,Oval_Rug
06:54:59,10/19/2018,,,,,,Male,,1,,,18.10486,Incorrect,Oval_Rug
06:55:10,10/19/2018,,,,,,Male,,1,,,29.93363,Correct,Lamp_ON_Left
06:55:10,10/19/2018,,,,,,Male,,1,,,29.93363,Incorrect,Lamp_ON_Left
06:55:26,10/19/2018,,,,,,Male,,1,,,45.8947,Correct,Couch_Pillow
06:55:26,10/19/2018,,,,,,Male,,1,,,45.8947,Incorrect,Couch_Pillow
06:55:32,10/19/2018,,,,,,Male,,1,,,51.27972,Correct,Pineapples
06:55:32,10/19/2018,,,,,,Male,,1,,,51.27972,Incorrect,Pineapples
06:55:45,10/19/2018,,,,,,Male,,1,,,64.90547,Correct,Toy_Blocks
06:55:45,10/19/2018,,,,,,Male,,1,,,64.90547,Incorrect,Toy_Blocks
06:56:02,10/19/2018,,,,,,Male,,1,,,81.68259,Correct,Picture_Middle
06:56:02,10/19/2018,,,,,,Male,,1,,,81.68259,Incorrect,Picture_Middle
06:56:15,10/19/2018,,,,,,Male,,1,,,94.99754,Incorrect,Mug
06:56:15,10/19/2018,,,,,,Male,,1,,,94.99754,Incorrect,Mug
06:56:22,10/19/2018,,,,,,Male,,1,,,101.8005,Correct,Mantle_Clock
06:56:22,10/19/2018,,,,,,Male,,1,,,101.8005,Incorrect,Mantle_Clock
06:56:52,10/19/2018,,,,,,Male,,1,,,131.8235,Correct,Mug
06:56:52,10/19/2018,,,,,,Male,,1,,,131.8235,Incorrect,Mug
06:57:00,10/19/2018,,,,,,Male,,1,,,139.1288,Correct,Fruit_Bowl
06:57:00,10/19/2018,,,,,,Male,,1,,,139.1288,Incorrect,Fruit_Bowl
06:57:19,10/19/2018,,,,,,Male,,1,,,158.4857,Correct,Book_Stack
06:57:19,10/19/2018,,,,,,Male,,1,,,158.4857,Incorrect,Book_Stack
06:57:28,10/19/2018,,,,,,Male,,1,,,167.9788,Correct,Table_Clock
06:57:28,10/19/2018,,,,,,Male,,1,,,167.9788,Incorrect,Table_Clock
06:57:33,10/19/2018,,,,,,Male,,1,,,172.7931,Correct,Plates_bowls
06:57:33,10/19/2018,,,,,,Male,,1,,,172.7931,Incorrect,Plates_bowls
01:27:03,10/22/2018,,,,,,Male,,1,Click,,12.7961,Incorrect,Dresser
01:27:03,10/22/2018,,,,,,Male,,1,Click,,12.7961,Incorrect,Dresser
01:27:06,10/22/2018,,,,,,Male,,1,Click,,15.99067,Incorrect,Wall_new (3)
01:27:06,10/22/2018,,,,,,Male,,1,Click,,15.99067,Incorrect,Wall_new (3)
